a52dec 0.7.4-11
aalib 1.4rc5-14
accounts-qml-module 0.7-4
accountsservice 0.6.55-3
acl 2.3.1-1
acpi 1.7-3
adapta-gtk-theme 3.95.0.11-2
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adobe-source-han-sans-cn-fonts 2.004-1
adobe-source-han-sans-jp-fonts 2.004-1
adobe-source-han-sans-kr-fonts 2.004-1
adobe-source-sans-fonts 3.046-1
adwaita-icon-theme 40.1.1-1
alacritty 0.9.0-1
alsa-card-profiles 1:0.3.34-1
alsa-firmware 1.2.4-2
alsa-lib 1.2.5.1-3
alsa-plugins 1:1.2.5-2
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.5.1-1
alsa-utils 1.2.5.1-1
aom 3.1.2-2
apache 2.4.48-1
apparmor 3.0.3-1
appstream 0.14.5-2
appstream-glib 0.7.18-2
appstream-qt 0.14.5-2
apr 1.7.0-3
apr-util 1.6.1-8
arandr 0.1.10-6
arc-gtk-theme 20210412-1
arc-icon-theme 20161122-3
arch-install-scripts 24-2
archiso 58-1
archlinux-appstream-data-pamac 20210723-1
archlinux-keyring 20210902-1
arcolinux-alacritty-git 21.07-01
arcolinux-arc-kde 20180614-4
arcolinux-arc-themes-git 21.07-01
arcolinux-awesome-git 21.07-01
arcolinux-betterlockscreen-git 21.08-03
arcolinux-bin-git 21.08-01
arcolinux-candy-beauty-git 21.07-19
arcolinux-common-git 21.07-01
arcolinux-config-all-desktops-git 21.07-01
arcolinux-conky-collection-git 21.08-03
arcolinux-dconf-all-desktops-git 21.07-01
arcolinux-desktop-trasher-git 21.08-51
arcolinux-docs-git 21.07-01
arcolinux-dwm-git 21.07-01
arcolinux-dwm-slstatus-git 21.07-01
arcolinux-fonts-git 21.07-01
arcolinux-geany-git 21.07-01
arcolinux-grub-theme-vimix-git 20200928-1
arcolinux-gtk3-sardi-arc-git 21.07-01
arcolinux-hblock-git 3.2.2-1
arcolinux-herbstluftwm-git 21.07-01
arcolinux-i3wm-git 21.09-04
arcolinux-keyring 20230919-6
arcolinux-kvantum-git 21.07-01
arcolinux-kvantum-theme-arc-git 21.07-01
arcolinux-local-applications-git 21.09-01
arcolinux-local-xfce4-git 21.07-01
arcolinux-logout-git 21.08-03
arcolinux-logout-themes-git 21.08-01
arcolinux-mate-git 21.07-01
arcolinux-meta-logout 21.07-01
arcolinux-mirrorlist-git 21.08-01
arcolinux-neofetch-git 21.07-01
arcolinux-nitrogen-git 21.07-01
